frac,radio,mza,vivs
1,1,11,15
1,2,12,1
1,2,14,19
1,2,33,8
1,6,48,20
1,10,74,21
1,11,80,12
1,11,86,1
1,12,62,21
1,12,64,1
1,12,65,2
1,12,68,18
1,12,78,5
2,1,7,25
2,1,8,8
2,1,9,9
2,1,24,27
2,2,1,12
2,6,42,20
2,6,67,16
2,7,57,19
2,7,61,19
2,7,64,3
2,7,66,14
2,8,52,7
2,9,87,26
2,9,88,16
2,9,92,11
2,9,96,5
2,10,82,15
2,11,76,24
2,11,108,1
2,11,109,1
2,11,110,1
2,11,111,11
3,1,1,9
3,1,22,26
3,3,5,18
3,3,6,25
3,5,37,3
3,5,41,1
3,8,47,24
3,10,58,2
3,11,57,16
3,11,65,10
4,1,19,28
4,3,2,6
4,3,3,18
4,3,5,20
4,3,17,4
4,3,30,4
4,4,7,16
4,4,8,12
4,4,27,2
4,5,42,10
4,5,43,19
4,5,45,27
4,5,47,7
4,5,65,18
4,6,59,21
4,8,78,15
4,9,60,27
4,9,61,13
4,9,66,2
4,9,67,16
4,9,70,23
4,9,79,2
4,9,80,13
5,1,1,5
5,1,30,15
5,4,63,29
5,4,66,4
5,8,28,29
5,8,35,26
5,8,36,28
5,8,49,28
5,8,50,25
5,9,33,26
5,9,53,28
5,10,57,29
5,10,71,17
5,10,73,22
9,1,2,1
9,2,24,21
9,3,26,3
10,2,3,4
10,8,20,3
10,8,32,27
10,10,41,17
10,10,43,23
11,1,7,21
11,1,8,10
11,1,11,27
11,1,13,4
11,4,17,17
11,7,53,27
12,3,12,25
13,1,2,26
13,1,5,5
13,6,15,1
